//Fsys;FSmarg;Minindistance;WL
45;0;9;2400;1;0
//ThID;TF;SHT;HM;TW
5;1,235;1;1;24
21;2,47;1;1;12
46;3,900129056;1;0;12
7;0,098968606;0;0;454
51;2,817142717;0;0;10
10;0,296509545;0;0;151
44;2,641151936;0;0;14
24;0,469591201;0;0;95
32;2,431610355;0;0;18
43;0,48742243;0;0;92
17;2,316011729;0;0;19
42;0,718798264;0;0;62
19;2,290116118;0;0;19
56;0,743038807;0;0;60
31;2,03258514;0;0;22
4;0,833303141;0;0;54
35;1,943323494;0;0;23
18;1,780593651;0;0;25
41;0,983604447;0;0;45
47;1,672267197;0;0;26
52;1,11558357;0;0;40
28;1,585142691;0;0;28
36;1,159837279;0;0;38
37;1,551235551;0;0;29
6;1,252874465;0;0;35
25;1,428044525;0;0;31
23;1,276172279;0;0;35
30;1,367720977;0;0;32
14;1,325768356;0;0;33
